,prix,Cheval,Carburant,Boite_a_vitesse,Modele,Kilometrage,Age
4201,115000,6,Diesel,Manuelle,Dokker,50 000 - 54 999,7
4202,59000,6,Diesel,Manuelle,Logan,200 000 - 249 999,14
4203,110000,7,Diesel,Manuelle,Dokker,130 000 - 139 999,7
4204,57000,6,Diesel,Manuelle,Logan,190 000 - 199 999,15
4205,78000,6,Diesel,Manuelle,Logan,190 000 - 199 999,7
4206,160000,6,Diesel,Manuelle,Dokker,35 000 - 39 999,2
4207,100000,6,Diesel,Manuelle,Dokker,150 000 - 159 999,7
4208,120000,6,Diesel,Manuelle,Dokker,70 000 - 74 999,3
4209,118000,6,Diesel,Manuelle,Logan,95 000 - 99 999,5
4210,115000,6,Diesel,Manuelle,Dokker,160 000 - 169 999,6
4211,107000,5,Diesel,Manuelle,Duster,190 000 - 199 999,12
4212,75000,7,Essence,Manuelle,Logan,15 000 - 19 999,5
4213,38000,8,Essence,Manuelle,Logan,25 000 - 29 999,11
4214,69000,8,Diesel,Manuelle,Logan,190 000 - 199 999,12
4215,105000,6,Diesel,Manuelle,Logan,120 000 - 129 999,6
4216,67000,7,Diesel,Manuelle,Logan,120 000 - 129 999,9
4217,118000,6,Diesel,Manuelle,Dokker,15 000 - 19 999,5
4218,118000,6,Diesel,Manuelle,Duster,120 000 - 129 999,7
4219,137000,6,Diesel,Manuelle,Logan,20 000 - 24 999,2
4220,109000,6,Diesel,Manuelle,Dokker,190 000 - 199 999,9
4221,125000,6,Diesel,Manuelle,Dokker,90 000 - 94 999,5
4222,103000,6,Diesel,Manuelle,Dokker,20 000 - 24 999,6
4223,103000,6,Diesel,Manuelle,Dokker,20 000 - 24 999,6
4224,98000,6,Diesel,Manuelle,Duster,200 000 - 249 999,11
4225,40000,7,Essence,Manuelle,Logan,300 000 - 349 999,15
4226,117000,6,Diesel,Manuelle,Logan,40 000 - 44 999,3
4227,72000,6,Diesel,Manuelle,Logan,250 000 - 299 999,8
4228,80000,6,Diesel,Manuelle,Logan,160 000 - 169 999,9
4229,123000,6,Diesel,Manuelle,Duster,150 000 - 159 999,8
4230,68000,6,Diesel,Manuelle,Logan,170 000 - 179 999,10
4231,110000,4,Diesel,Manuelle,Logan,80 000 - 84 999,5
4232,50000,4,Diesel,Manuelle,Logan,0 - 4 999,10
4233,47000,4,Essence,Manuelle,Logan,200 000 - 249 999,14
4234,98000,7,Diesel,Manuelle,Duster,200 000 - 249 999,11
4235,45000,8,Essence,Manuelle,Logan,200 000 - 249 999,15
4236,103000,7,Diesel,Manuelle,Dokker,100 000 - 109 999,5
4237,125000,7,Diesel,Manuelle,Dokker,110 000 - 119 999,4
4238,102000,6,Diesel,Manuelle,Dokker,90 000 - 94 999,7
4239,50000,8,Essence,Manuelle,Logan,5 000 - 9 999,16
4240,120000,8,Diesel,Manuelle,Dokker,0 - 4 999,5
4241,89000,6,Diesel,Manuelle,Dokker,170 000 - 179 999,9
4242,128000,6,Diesel,Manuelle,Duster,130 000 - 139 999,8
4243,98000,6,Diesel,Manuelle,Duster,170 000 - 179 999,12
4244,118000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,5
4245,68000,6,Diesel,Manuelle,Logan,0 - 4 999,12
4246,59000,7,Diesel,Manuelle,Logan,190 000 - 199 999,17
4247,128000,7,Diesel,Manuelle,Logan,50 000 - 54 999,3
4248,130000,5,Diesel,Manuelle,Duster,120 000 - 129 999,5
4249,92000,6,Diesel,Manuelle,Logan,110 000 - 119 999,9
4250,130300,6,Diesel,Manuelle,Duster,110 000 - 119 999,5
4251,140000,6,Diesel,Automatique,Duster,95 000 - 99 999,6
4252,73000,6,Diesel,Manuelle,Duster,20 000 - 24 999,7
4253,56000,8,Essence,Manuelle,Logan,180 000 - 189 999,15
4254,60000,6,Diesel,Manuelle,Logan,160 000 - 169 999,13
4255,125000,6,Diesel,Manuelle,Duster,100 000 - 109 999,9
4256,86000,6,Diesel,Manuelle,Logan,0 - 4 999,7
4257,165000,6,Diesel,Manuelle,Dokker,20 000 - 24 999,2
4258,55000,6,Diesel,Manuelle,Logan,350 000 - 399 999,12
4259,105000,6,Diesel,Manuelle,Duster,200 000 - 249 999,10
4260,43000,8,Essence,Manuelle,Logan,0 - 4 999,15
4261,168000,6,Diesel,Automatique,Duster,90 000 - 94 999,4
4262,62000,6,Diesel,Manuelle,Logan,250 000 - 299 999,13
4263,153000,6,Diesel,Manuelle,Dokker,30 000 - 34 999,2
4264,100000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,6
4265,61000,6,Diesel,Manuelle,Logan,200 000 - 249 999,11
4266,120000,6,Diesel,Manuelle,Duster,100 000 - 109 999,8
4267,62000,7,Diesel,Manuelle,Logan,200 000 - 249 999,10
4268,71000,7,Diesel,Manuelle,Logan,150 000 - 159 999,9
4269,43000,8,Essence,Manuelle,Logan,0 - 4 999,16
4270,70000,6,Diesel,Manuelle,Logan,140 000 - 149 999,9
4271,130000,6,Diesel,Manuelle,Logan,20 000 - 24 999,2
4272,112500,6,Diesel,Manuelle,Duster,140 000 - 149 999,12
4273,73000,6,Diesel,Manuelle,Logan,130 000 - 139 999,8
4274,125000,41,Essence,Manuelle,Dokker,85 000 - 89 999,4
4275,68000,7,Diesel,Manuelle,Logan,190 000 - 199 999,14
4276,99000,6,Diesel,Manuelle,Dokker,160 000 - 169 999,5
4277,89000,6,Diesel,Manuelle,Logan,130 000 - 139 999,7
4278,59000,6,Diesel,Automatique,Logan,300 000 - 349 999,13
4279,103000,6,Diesel,Automatique,Dokker,120 000 - 129 999,7
4280,105000,7,Diesel,Manuelle,Dokker,10 000 - 14 999,6
4281,98000,8,Diesel,Manuelle,Duster,140 000 - 149 999,12
4282,68000,6,Diesel,Manuelle,Logan,0 - 4 999,11
4283,146000,6,Diesel,Manuelle,Dokker,40 000 - 44 999,2
4284,127000,6,Diesel,Manuelle,Duster,100 000 - 109 999,6
4285,60000,6,Diesel,Manuelle,Logan,15 000 - 19 999,14
4286,55000,6,Diesel,Manuelle,Logan,200 000 - 249 999,16
4287,53000,7,Diesel,Manuelle,Logan,35 000 - 39 999,15
4288,67000,6,Essence,Manuelle,Logan,60 000 - 64 999,7
4289,105000,6,Diesel,Manuelle,Duster,150 000 - 159 999,10
4290,97000,6,Diesel,Manuelle,Logan,130 000 - 139 999,6
4291,92000,6,Diesel,Manuelle,Logan,10 000 - 14 999,6
4292,87000,6,Diesel,Manuelle,Logan,140 000 - 149 999,8
4293,55000,7,Diesel,Manuelle,Logan,170 000 - 179 999,12
4294,58000,6,Diesel,Manuelle,Logan,200 000 - 249 999,12
4295,185000,6,Diesel,Manuelle,Duster,20 000 - 24 999,3
4296,170000,6,Diesel,Automatique,Duster,110 000 - 119 999,4
4297,130000,6,Diesel,Manuelle,Dokker,70 000 - 74 999,6
4298,90000,6,Diesel,Manuelle,Duster,190 000 - 199 999,11
4299,100000,6,Diesel,Manuelle,Logan,190 000 - 199 999,8
4300,112000,6,Diesel,Manuelle,Dokker,80 000 - 84 999,6
4301,91000,6,Diesel,Manuelle,Dokker,150 000 - 159 999,7
4302,73000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,9
4303,92000,6,Diesel,Manuelle,Dokker,95 000 - 99 999,6
4304,58000,6,Diesel,Manuelle,Logan,200 000 - 249 999,16
4305,91000,6,Diesel,Manuelle,Logan,110 000 - 119 999,7
4306,112000,6,Diesel,Manuelle,Dokker,100 000 - 109 999,4
4307,85000,6,Diesel,Manuelle,Logan,130 000 - 139 999,9
4308,85000,6,Diesel,Manuelle,Logan,130 000 - 139 999,9
4309,98000,6,Diesel,Manuelle,Duster,150 000 - 159 999,10
4310,120000,6,Diesel,Manuelle,Dokker,5 000 - 9 999,5
4311,154000,6,Diesel,Manuelle,Duster,55 000 - 59 999,4
4312,55000,6,Diesel,Manuelle,Logan,150 000 - 159 999,17
4313,43000,6,Essence,Manuelle,Logan,40 000 - 44 999,13
4314,67000,6,Essence,Manuelle,Logan,0 - 4 999,7
4315,193000,7,Diesel,Manuelle,Duster,10 000 - 14 999,2
4316,92000,6,Diesel,Automatique,Dokker,15 000 - 19 999,8
4317,115000,6,Diesel,Automatique,Duster,75 000 - 79 999,5
4318,90000,6,Diesel,Automatique,Duster,0 - 4 999,11
4319,88000,6,Diesel,Manuelle,Logan,50 000 - 54 999,10
4320,180000,6,Diesel,Manuelle,Duster,60 000 - 64 999,2
4321,95000,7,Diesel,Manuelle,Logan,5 000 - 9 999,6
4322,65000,6,Diesel,Manuelle,Logan,200 000 - 249 999,10
4323,45000,8,Essence,Manuelle,Logan,180 000 - 189 999,14
4324,135000,7,Diesel,Manuelle,Dokker,45 000 - 49 999,2
4325,90000,6,Diesel,Manuelle,Dokker,130 000 - 139 999,7
4326,129000,6,Diesel,Manuelle,Duster,85 000 - 89 999,7
4327,58000,6,Diesel,Manuelle,Logan,190 000 - 199 999,12
4328,58000,6,Diesel,Manuelle,Logan,190 000 - 199 999,12
4329,42000,8,Essence,Manuelle,Logan,200 000 - 249 999,17
4330,85000,6,Diesel,Manuelle,Logan,170 000 - 179 999,9
4331,107000,6,Diesel,Manuelle,Logan,65 000 - 69 999,6
4332,60000,6,Diesel,Manuelle,Logan,180 000 - 189 999,16
4333,110000,6,Diesel,Manuelle,Duster,200 000 - 249 999,7
4334,100000,7,Diesel,Manuelle,Dokker,Plus de 500 000,8
4335,60000,6,Diesel,Manuelle,Logan,180 000 - 189 999,16
4336,58000,6,Diesel,Manuelle,Logan,30 000 - 34 999,14
4337,100500,6,Diesel,Manuelle,Logan,75 000 - 79 999,5
4338,11400,7,Diesel,Manuelle,Dokker,75 000 - 79 999,5
4339,43000,8,Essence,Manuelle,Logan,80 000 - 84 999,14
4340,78000,6,Diesel,Manuelle,Dokker,190 000 - 199 999,5
